English,Chinese,Audio_UK,Audio_US,Example_EN,Example_ZH,Level,Topic,Source
medicine,药品,[sound:7625616eabfed445_uk.mp3],[sound:90f948adb23bdf1a_us.mp3],"I can see a <span style=""color:red;""><b>medicine</b></span> here.",我可以在这里看到一种药。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
Michael,迈克尔,[sound:5599e61d3e3be5e7_uk.mp3],[sound:606cae8ceaf9c1ca_us.mp3],"I can see a <span style=""color:red;""><b>michael</b></span> here.",我可以在这里看到迈克尔。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
midday,正午,[sound:4e3150326f9f001d_uk.mp3],[sound:10b08a611ac2bb21_us.mp3],"We will talk about <span style=""color:red;""><b>midday</b></span> in class today.",今天我们将在课堂上讨论中午的事情。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
midnight,午夜,[sound:21bd7ce56827c09c_uk.mp3],[sound:7c3e9207ef1ec579_us.mp3],"We will talk about <span style=""color:red;""><b>midnight</b></span> in class today.",今天我们将在课堂上讨论午夜。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
milk,牛奶,[sound:c51c5ac337f268f6_uk.mp3],[sound:4f35304c7518f3ee_us.mp3],"I like eating <span style=""color:red;""><b>milk</b></span> for lunch.",我午餐喜欢吃牛奶。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
minute,分钟,[sound:3694bc49ad0a8796_uk.mp3],[sound:60583b2b9a0b32dc_us.mp3],"We will talk about <span style=""color:red;""><b>minute</b></span> in class today.",我们今天将在课堂上讨论分钟。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
mix,混合,[sound:df0b0444733479e2_uk.mp3],[sound:226bf63ec89d3c86_us.mp3],"I can see a <span style=""color:red;""><b>mix</b></span> here.",我可以在这里看到混合。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
Monday,周一,[sound:8f65366bdfec6e41_uk.mp3],[sound:22372f1754a69e2f_us.mp3],"We will talk about <span style=""color:red;""><b>monday</b></span> in class today.",我们今天将在课堂上讨论星期一。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
monkey,猴,[sound:da911eb30624f7a7_uk.mp3],[sound:9a68c880ecda2fd0_us.mp3],"I can see a <span style=""color:red;""><b>monkey</b></span> at the zoo.",我可以在动物园看到一只猴子。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
monster,怪物,[sound:e4d4fd6eacf60ed4_uk.mp3],[sound:961f030a1828e3fd_us.mp3],"I can see a <span style=""color:red;""><b>monster</b></span> here.",我在这里看到了一个怪物。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
month,月,[sound:779663b0825a4d0d_uk.mp3],[sound:864e800b7bcecb31_us.mp3],"We will talk about <span style=""color:red;""><b>month</b></span> in class today.",今天我们将在课堂上讨论月份。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
morning,早晨,[sound:12da7362c2ffbfa6_uk.mp3],[sound:d70a70c01e874326_us.mp3],"We will talk about <span style=""color:red;""><b>morning</b></span> in class today.",今天我们将在课堂上讨论上午的事情。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
mother,母亲,[sound:047ac5439c0d9193_uk.mp3],[sound:40b3313b3c6e8854_us.mp3],"I can see a <span style=""color:red;""><b>mother</b></span> here.",我在这里看到了一位母亲。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
motorway,高速公路,[sound:e769573c117e0eac_uk.mp3],[sound:406e531047444361_us.mp3],"I can see a <span style=""color:red;""><b>motorway</b></span> here.",我可以在这里看到一条高速公路。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
mouth,嘴,[sound:94f3e950065e14b0_uk.mp3],[sound:958ee16098f05025_us.mp3],"I can see a <span style=""color:red;""><b>mouth</b></span> here.",我可以看到这里有一张嘴。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
mum,妈妈,[sound:b6c0156a0ee49378_uk.mp3],[sound:c407bc5c47d62655_us.mp3],"I can see a <span style=""color:red;""><b>mum</b></span> here.",我可以在这里看到一位妈妈。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
museum,博物馆,[sound:f68de9fd6a9643b9_uk.mp3],[sound:58bcaa5a1717d434_us.mp3],"We can go to the <span style=""color:red;""><b>museum</b></span> today.",今天我们可以去博物馆。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
music,音乐,[sound:1a29e9ecf2bfe23a_uk.mp3],[sound:5ef502548ed0ccdf_us.mp3],"I can see the <span style=""color:red;""><b>music</b></span> in my classroom.",我可以在教室里看到音乐。,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
name,姓名,[sound:856ec275ba92f840_uk.mp3],[sound:70af829b4c74133a_us.mp3],"I can see a <span style=""color:red;""><b>name</b></span> here.",我可以在这里看到一个名字。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
net,网,[sound:26a8416495760ab6_uk.mp3],[sound:bdddce79a632d8c0_us.mp3],"I can see a <span style=""color:red;""><b>net</b></span> here.",我在这里可以看到一张网。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
new,新的,[sound:ec4ce6e016d0dc38_uk.mp3],[sound:4feac1df6b79337a_us.mp3],"I can see a <span style=""color:red;""><b>new</b></span> here.",我可以在这里看到一个新的。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
next,下一个,[sound:6764e0810632856b_uk.mp3],[sound:1adb77943a1a07c4_us.mp3],"I can see a <span style=""color:red;""><b>next</b></span> here.",我可以在这里看到下一个。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
night,夜晚,[sound:a5135ce63d5b556d_uk.mp3],[sound:6285379645eff7f1_us.mp3],"We will talk about <span style=""color:red;""><b>night</b></span> in class today.",今天我们将在课堂上讨论晚上的事情。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
no,不,[sound:e87d64564edd8186_uk.mp3],[sound:55af61aa01b4d182_us.mp3],"I can see a <span style=""color:red;""><b>no</b></span> here.",我可以看到这里有一个“不”。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
not,不是,[sound:8bac83ac29fcc1e5_uk.mp3],[sound:3f929f535e5b5a19_us.mp3],"I can see a <span style=""color:red;""><b>not</b></span> here.",我可以看到一个不在这里。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
November,十一月,[sound:021232618ca10e98_uk.mp3],[sound:57e2f0a9d5c16cf2_us.mp3],"We will talk about <span style=""color:red;""><b>november</b></span> in class today.",今天我们将在课堂上讨论十一月。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
now,现在,[sound:0b625b0484bcd7aa_uk.mp3],[sound:207409b8333e3067_us.mp3],"I can see a <span style=""color:red;""><b>now</b></span> here.",我可以在这里看到现在。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
October,十月,[sound:7e647bd98c12e08d_uk.mp3],[sound:c8f866b1be307919_us.mp3],"We will talk about <span style=""color:red;""><b>october</b></span> in class today.",今天我们将在课堂上讨论十月。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
octopus,章鱼,[sound:008457641378b71a_uk.mp3],[sound:604c52b590cb8b9b_us.mp3],"I can see a <span style=""color:red;""><b>octopus</b></span> at the zoo.",我可以在动物园看到章鱼。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
of,的,[sound:4ced77c208eeb254_uk.mp3],[sound:467d46fc49c4d2f9_us.mp3],"I can see an <span style=""color:red;""><b>of</b></span> here.",我可以看到这里的一个。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
off,离开,[sound:9e43137f661dc3f9_uk.mp3],[sound:842889fd46aca1a8_us.mp3],"I can see an <span style=""color:red;""><b>off</b></span> here.",我可以在这里送行。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
oh,哦,[sound:7a96ae520df9870b_uk.mp3],[sound:d7ea52069434fd74_us.mp3],"I can see an <span style=""color:red;""><b>oh</b></span> here.",我可以在这里看到一个哦。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
old,老的,[sound:ad116df36f8c9712_uk.mp3],[sound:7103dd7652b7f95f_us.mp3],"I can see an <span style=""color:red;""><b>old</b></span> here.",我在这里可以看到一位老人。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
Oliver,奥利弗,[sound:f73ddd79f278f784_uk.mp3],[sound:c2db7705f49f119c_us.mp3],"I can see an <span style=""color:red;""><b>oliver</b></span> here.",我可以在这里看到一个奥利弗。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
one,一,[sound:daea31e4e9f67301_uk.mp3],[sound:e0364596c4dca0a8_us.mp3],"I can see an <span style=""color:red;""><b>one</b></span> here.",我可以在这里看到一个。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
onion,洋葱,[sound:767bbbbaa0d16be5_uk.mp3],[sound:0386a4371376cb68_us.mp3],"I like eating <span style=""color:red;""><b>onion</b></span> for lunch.",我午餐喜欢吃洋葱。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
open,打开,[sound:393a90ed39b840a5_uk.mp3],[sound:19336190f0a7d165_us.mp3],"I can <span style=""color:red;""><b>open</b></span> it after school.",放学后我可以打开它。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
or,或者,[sound:1d2fa40ef750218e_uk.mp3],[sound:e2ec7aa4cae70814_us.mp3],"I can see an <span style=""color:red;""><b>or</b></span> here.",我可以在这里看到一个或。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
orange,橙子,[sound:9a39f93e8b7969dd_uk.mp3],[sound:ef30e0bb809efcdd_us.mp3],"I like eating <span style=""color:red;""><b>orange</b></span> for lunch.",我午餐喜欢吃橙子。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
out,出去,[sound:18ece1c12b2f874c_uk.mp3],[sound:d5f06310b34547d9_us.mp3],"I can see an <span style=""color:red;""><b>out</b></span> here.",我可以看到这里。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
p.m. (for time),下午,[sound:a28af13764f9dd57_uk.mp3],[sound:e214a58b50dac583_us.mp3],"We can use ""<span style=""color:red;""><b>p.m.</b></span>"" in a simple sentence.",我们可以使用“p.m.”用一个简单的句子来说。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
page,页,[sound:33a2113c71b7fa92_uk.mp3],[sound:5f938377e2c51dc0_us.mp3],"I can see the <span style=""color:red;""><b>page</b></span> in my classroom.",我可以在我的教室看到该页面。,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
paint,画,[sound:2a8f523cc3f46792_uk.mp3],[sound:98402b91a8afa196_us.mp3],"I can <span style=""color:red;""><b>paint</b></span> it after school.",放学后我可以画它。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
panda,熊猫,[sound:a439f34295420f77_uk.mp3],[sound:fbdf88f3c255b445_us.mp3],"I can see a <span style=""color:red;""><b>panda</b></span> at the zoo.",我可以在动物园看到熊猫。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
paper,纸,[sound:6a0725f85061717f_uk.mp3],[sound:e47ab78ad4abb55c_us.mp3],"I can see the <span style=""color:red;""><b>paper</b></span> in my classroom.",我可以在教室里看到这篇论文。,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
park,公园,[sound:33d69c63608335a4_uk.mp3],[sound:adfb358ddd5e9209_us.mp3],"We can go to the <span style=""color:red;""><b>park</b></span> today.",今天我们可以去公园。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
parrot,鹦鹉,[sound:6d1baa11a3a0f587_uk.mp3],[sound:ad1c6b72422e8b8f_us.mp3],"I can see a <span style=""color:red;""><b>parrot</b></span> at the zoo.",我可以在动物园看到一只鹦鹉。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
part,部分,[sound:8d0a1a8e9b8d3bae_uk.mp3],[sound:60f88527ec8bd6f9_us.mp3],"I can see a <span style=""color:red;""><b>part</b></span> here.",我可以在这里看到一部分。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
party,派对,[sound:360da7ad8eadc2be_uk.mp3],[sound:bbd732994396444c_us.mp3],"I can see a <span style=""color:red;""><b>party</b></span> here.",我可以在这里看到一个聚会。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
pea,豌豆,[sound:f5d49463d02680d4_uk.mp3],[sound:da34dec7184ca298_us.mp3],"I can see a <span style=""color:red;""><b>pea</b></span> here.",我在这里可以看到一颗豌豆。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
pear,梨,[sound:1f7883bccce41f09_uk.mp3],[sound:c84c485a246a875a_us.mp3],"I like eating <span style=""color:red;""><b>pear</b></span> for lunch.",我午餐喜欢吃梨。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
pen,笔,[sound:a317ed3e80854fd9_uk.mp3],[sound:a94573d7310b3fb7_us.mp3],"I can see the <span style=""color:red;""><b>pen</b></span> in my classroom.",我可以在教室里看到那支笔。,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
pencil,铅笔,[sound:32fb1c5065b369a4_uk.mp3],[sound:9f5bf9789e6c91b0_us.mp3],"I can see the <span style=""color:red;""><b>pencil</b></span> in my classroom.",我可以在教室里看到铅笔。,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
penguin,企鹅,[sound:c0956945e7fecf68_uk.mp3],[sound:a77b19d1fc1f5043_us.mp3],"I can see a <span style=""color:red;""><b>penguin</b></span> at the zoo.",我可以在动物园看到一只企鹅。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
pepper,胡椒,[sound:437bb5e7b0eb3ae6_uk.mp3],[sound:5b94bbb10518119e_us.mp3],"I like eating <span style=""color:red;""><b>pepper</b></span> for lunch.",我午餐喜欢吃胡椒。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
pet,宠物,[sound:cf87e0a2d3212044_uk.mp3],[sound:cb3a3b416108846f_us.mp3],"I can see a <span style=""color:red;""><b>pet</b></span> here.",我可以在这里看到一只宠物。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
phone,电话,[sound:01bdc67c10f9ac80_uk.mp3],[sound:6abdc1a8a5b855e9_us.mp3],"I can see a <span style=""color:red;""><b>phone</b></span> here.",我可以在这里看到一部电话。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
pie,馅饼,[sound:378623b8fcf9c539_uk.mp3],[sound:7b3613b5b195be13_us.mp3],"I can see a <span style=""color:red;""><b>pie</b></span> here.",我可以在这里看到一个馅饼。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
pink,粉色的,[sound:3abf7802dbecf567_uk.mp3],[sound:ece3bca049058148_us.mp3],"I can see a <span style=""color:red;""><b>pink</b></span> here.",我在这里看到粉红色。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
pizza,比萨,[sound:e4e0702cb96ab34e_uk.mp3],[sound:c1516ef80e9cfbe3_us.mp3],"I like eating <span style=""color:red;""><b>pizza</b></span> for lunch.",我午餐喜欢吃披萨。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
plane,飞机,[sound:b0b644da67628809_uk.mp3],[sound:fa83e7d5d16e5077_us.mp3],"I can see a <span style=""color:red;""><b>plane</b></span> here.",我在这里可以看到一架飞机。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
play,玩,[sound:636a2d61b57ec0f7_uk.mp3],[sound:acdbcaaa7de9e6b7_us.mp3],"I can <span style=""color:red;""><b>play</b></span> it after school.",放学后我可以玩。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
playground,操场,[sound:ad8ccaa2400756a2_uk.mp3],[sound:9f7b59aa002658e6_us.mp3],"We can go to the <span style=""color:red;""><b>playground</b></span> today.",今天我们可以去游乐场。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
police station,警察局,[sound:7f49d09ce6a5cfbe_uk.mp3],[sound:28acd962e840487d_us.mp3],"The <span style=""color:red;""><b>police station</b></span> is near the park.",警察局就在公园附近。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
post office,邮局,[sound:8534264813e73977_uk.mp3],[sound:20c6452c22d0722c_us.mp3],"My mother is at the <span style=""color:red;""><b>post office</b></span>.",我妈妈在邮局。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
potato,土豆,[sound:130ff8942a51f63e_uk.mp3],[sound:0bbc7d3fb83fbf10_us.mp3],"I like eating <span style=""color:red;""><b>potato</b></span> for lunch.",我午餐喜欢吃土豆。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
pretty,漂亮的,[sound:d4537ff98a3fca72_uk.mp3],[sound:27f6c9b060779310_us.mp3],"I can see a <span style=""color:red;""><b>pretty</b></span> here.",我可以在这里看到一个漂亮的人。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
programme (US program),程序,[sound:ccc937051eb6f8df_uk.mp3],[sound:d0a74ffd5537be5c_us.mp3],"We can use ""<span style=""color:red;""><b>programme</b></span>"" in a simple sentence.",我们可以在一个简单的句子中使用“程序”。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
puppy,小狗,[sound:884a7996f91d227f_uk.mp3],[sound:e9356230b83725c9_us.mp3],"I can see a <span style=""color:red;""><b>puppy</b></span> at the zoo.",我可以在动物园看到一只小狗。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
put,放,[sound:55f6df31edf354fa_uk.mp3],[sound:67d661f8592bee37_us.mp3],"I can <span style=""color:red;""><b>put</b></span> it after school.",我可以放学后放。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
quarter,四分之一,[sound:17b7c33e6d32cc80_uk.mp3],[sound:156b4e1d76d8b0a6_us.mp3],"We will talk about <span style=""color:red;""><b>quarter</b></span> in class today.",今天我们将在课堂上讨论季度。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
question,问题,[sound:955b6d950d457196_uk.mp3],[sound:3a2291e00df39fe3_us.mp3],"I can see the <span style=""color:red;""><b>question</b></span> in my classroom.",我可以在教室里看到这个问题。,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
rabbit,兔子,[sound:fdf949368756a815_uk.mp3],[sound:6715fa428f70ff41_us.mp3],"I can see a <span style=""color:red;""><b>rabbit</b></span> at the zoo.",我可以在动物园看到一只兔子。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
railway,铁路,[sound:59303ba3cf9400ec_uk.mp3],[sound:e10be95ee0f627da_us.mp3],"We can go to the <span style=""color:red;""><b>railway</b></span> today.",今天我们可以去铁路。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
rain,雨,[sound:145da511d4e52f70_uk.mp3],[sound:75eeb9a329298f62_us.mp3],"I can see a <span style=""color:red;""><b>rain</b></span> here.",我可以看到这里正在下雨。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
read,读,[sound:fe7972b4c380212c_uk.mp3],[sound:1ad661397a05fc27_us.mp3],"I can <span style=""color:red;""><b>read</b></span> it after school.",放学后我可以读它。,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
red,红色的,[sound:fa1168419e2a9c23_uk.mp3],[sound:08ae5749ebe9bdf3_us.mp3],"I can see a <span style=""color:red;""><b>red</b></span> here.",我在这里可以看到红色。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
restaurant,餐厅,[sound:4009142f2765cd98_uk.mp3],[sound:f57e54bbcb618a8f_us.mp3],"We can go to the <span style=""color:red;""><b>restaurant</b></span> today.",今天我们可以去餐厅。,易错（tricky）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
rice,米,[sound:fd4b27ff5c759d0e_uk.mp3],[sound:406477989e498995_us.mp3],"I like eating <span style=""color:red;""><b>rice</b></span> for lunch.",我午餐喜欢吃米饭。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
Richard,理查德,[sound:c2b042f8cde3b986_uk.mp3],[sound:9afe66f298e58311_us.mp3],"I can see a <span style=""color:red;""><b>richard</b></span> here.",我可以在这里看到理查德。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
ride,骑,[sound:ca964aef41201c09_uk.mp3],[sound:98d50fd89df7c160_us.mp3],"I can <span style=""color:red;""><b>ride</b></span> it after school.",放学后我可以骑它。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
right,正确的,[sound:92ba13f418a3a0d8_uk.mp3],[sound:3afed1100fd3eae6_us.mp3],"I can see a <span style=""color:red;""><b>right</b></span> here.",我可以在这里看到一个。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
river,河,[sound:cc0c88833fccd6da_uk.mp3],[sound:6bb584ebaed2f1a2_us.mp3],"I can see a <span style=""color:red;""><b>river</b></span> here.",我在这里可以看到一条河。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
road,路,[sound:04eb7ef8886c2565_uk.mp3],[sound:be6ace5f8317ba3e_us.mp3],"We can go to the <span style=""color:red;""><b>road</b></span> today.",今天我们可以上路了。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
Robert,罗伯特,[sound:1ad67c387990eefe_uk.mp3],[sound:13308764c8c49c47_us.mp3],"I can see a <span style=""color:red;""><b>robert</b></span> here.",我可以在这里看到一个罗伯特。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
room,房间,[sound:2185cfdd61fd4e0e_uk.mp3],[sound:956ae6a81c205c08_us.mp3],"We can go to the <span style=""color:red;""><b>room</b></span> today.",今天我们可以去房间了。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
rug,小地毯,[sound:05d48cb3f05c1b74_uk.mp3],[sound:a6db03403dc883d6_us.mp3],"I can see a <span style=""color:red;""><b>rug</b></span> here.",我可以看到这里有一块地毯。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
run,跑步,[sound:219da4ffab26a37a_uk.mp3],[sound:f9678639e2dd844b_us.mp3],"I can <span style=""color:red;""><b>run</b></span> it after school.",放学后我可以运行它。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
sad,伤心,[sound:50129b5972446643_uk.mp3],[sound:2bf45e74040613fb_us.mp3],"This is a <span style=""color:red;""><b>sad</b></span> one.",这是一件令人悲伤的事。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
salt,盐,[sound:3915524c639634f3_uk.mp3],[sound:c19487c5ef7f8398_us.mp3],"I like eating <span style=""color:red;""><b>salt</b></span> for lunch.",我午餐喜欢吃盐。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
sandwich,三明治,[sound:bfba27c99d654acd_uk.mp3],[sound:46059e26aef98dde_us.mp3],"I like eating <span style=""color:red;""><b>sandwich</b></span> for lunch.",我午餐喜欢吃三明治。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
Sarah,莎拉,[sound:e0bfcb0b2398af0b_uk.mp3],[sound:9cadc4066ef92616_us.mp3],"I can see a <span style=""color:red;""><b>sarah</b></span> here.",我可以在这里看到莎拉。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
Saturday,周六,[sound:4662ceaaa3ac2f28_uk.mp3],[sound:5af90e0e5047534d_us.mp3],"We will talk about <span style=""color:red;""><b>saturday</b></span> in class today.",今天我们将在课堂上讨论星期六。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
sausage,香肠,[sound:6a789c373d244279_uk.mp3],[sound:08f601d783db1300_us.mp3],"I like eating <span style=""color:red;""><b>sausage</b></span> for lunch.",我午餐喜欢吃香肠。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
say,说,[sound:e25bcb57c1eced87_uk.mp3],[sound:5f0ce4e8a7479333_us.mp3],"I can <span style=""color:red;""><b>say</b></span> it after school.",放学后我可以说。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
school,学校,[sound:025472ec5c5a0e1f_uk.mp3],[sound:9316bec4396486cc_us.mp3],"I can see the <span style=""color:red;""><b>school</b></span> in my classroom.",我可以在教室里看到学校。,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
scissors,剪刀,[sound:5a7b8bd34d9c53f3_uk.mp3],[sound:92444c7d4c57ab27_us.mp3],"I can see a <span style=""color:red;""><b>scissors</b></span> here.",我在这里看到一把剪刀。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
sea,海,[sound:ecd08c16586e1cc6_uk.mp3],[sound:a87173afa11263ee_us.mp3],"I can see a <span style=""color:red;""><b>sea</b></span> here.",我在这里可以看到大海。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
see,看,[sound:07d936933ef67227_uk.mp3],[sound:aaa6bac629328710_us.mp3],"I can <span style=""color:red;""><b>see</b></span> it after school.",放学后我可以看到它。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
September,九月,[sound:1816fbefa4a2a700_uk.mp3],[sound:10b4fb401ba8c9e2_us.mp3],"We will talk about <span style=""color:red;""><b>september</b></span> in class today.",今天我们将在课堂上讨论九月。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
shark,鲨鱼,[sound:0960f4d96bc9caff_uk.mp3],[sound:21ae6ef0102e60fb_us.mp3],"I can see a <span style=""color:red;""><b>shark</b></span> at the zoo.",我可以在动物园看到鲨鱼。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
she,她,[sound:bfbed1c22b7926ab_uk.mp3],[sound:5524bac339656975_us.mp3],"I can see a <span style=""color:red;""><b>she</b></span> here.",我可以在这里看到一个她。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
shoe,鞋,[sound:7688289e010c008d_uk.mp3],[sound:a0eef3afc6cdb15f_us.mp3],"I can see a <span style=""color:red;""><b>shoe</b></span> here.",我可以在这里看到一只鞋。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
shop,店铺,[sound:657de2ef3fef9a90_uk.mp3],[sound:88d1c25c2887814f_us.mp3],"We can go to the <span style=""color:red;""><b>shop</b></span> today.",今天我们可以去商店。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
short,短的,[sound:3f6c1cf0b9271caf_uk.mp3],[sound:1ebd43ca1a89b246_us.mp3],"This is a <span style=""color:red;""><b>short</b></span> one.",这是一篇短文。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
show,展示,[sound:e47d0e8ffd14b214_uk.mp3],[sound:a31deb1302c33ec7_us.mp3],"I can <span style=""color:red;""><b>show</b></span> it after school.",放学后我可以展示它。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
